[Tue Jun 24 10:47:00.680750 2014] [:error] [pid 4008:tid 1772] [client ::1:52263] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in E:\\shopping\\trunk\\ShoppingServer\\www\\logout.php on line 1, referer: http://localhost/login_user.php
[Tue Jun 24 10:47:01.885818 2014] [:error] [pid 4008:tid 1772] [client ::1:52263] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:47:23.733068 2014] [:error] [pid 4008:tid 1772] [client ::1:52270] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:47:25.841189 2014] [:error] [pid 4008:tid 1772] [client ::1:52270] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:47:52.830732 2014] [:error] [pid 4008:tid 1780] [client ::1:52289] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:47:54.844848 2014] [:error] [pid 4008:tid 1772] [client ::1:52294] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:48:04.585405 2014] [:error] [pid 4008:tid 1780] [client ::1:52313] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 10:48:29.270817 2014] [:error] [pid 4008:tid 1780] [client ::1:52318] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 11:08:53.713040 2014] [core:warn] [pid 4632:tid 148] AH00098: pid file E:/shopping/trunk/ShoppingServer/core/apache2/logs/httpd.pid overwritten -- Unclean shutdown of previous Apache run?
[Tue Jun 24 11:08:53.729041 2014] [mpm_winnt:notice] [pid 4632:tid 148] AH00455: Apache/2.4.9 (Win32) PHP/5.4.28 configured -- resuming normal operations
[Tue Jun 24 11:08:53.729041 2014] [mpm_winnt:notice] [pid 4632:tid 148] AH00456: Apache Lounge VC10 Server built: Mar 17 2014 10:48:43
[Tue Jun 24 11:08:53.729041 2014] [core:notice] [pid 4632:tid 148] AH00094: Command line: 'E:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\bin\\httpd_z.exe -d E:/shopping/trunk/ShoppingServer/core/apache2 -f E:\\shopping\\trunk\\ShoppingServer\\core\\apache2\\conf\\httpd.conf -d E:\\shopping\\trunk\\ShoppingServer\\core\\apache2'
[Tue Jun 24 11:08:53.730041 2014] [mpm_winnt:notice] [pid 4632:tid 148] AH00418: Parent: Created child process 4972
[Tue Jun 24 11:08:54.041059 2014] [mpm_winnt:notice] [pid 4972:tid 600] AH00354: Child: Starting 150 worker threads.
[Tue Jun 24 11:08:58.301100 2014] [:error] [pid 4972:tid 1788] [client ::1:64275] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/index.php
[Tue Jun 24 11:33:49.616398 2014] [:error] [pid 4972:tid 1780] [client ::1:64568] PHP Notice:  Undefined variable: salt in E:\\shopping\\trunk\\ShoppingServer\\www\\logincheck.php on line 13, referer: http://localhost/login.php
[Tue Jun 24 11:33:52.317553 2014] [:error] [pid 4972:tid 1780] [client ::1:64568] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 36, referer: http://localhost/login_user.php
[Tue Jun 24 11:36:14.006156 2014] [:error] [pid 4972:tid 1772] [client ::1:64586] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:37:24.761742 2014] [:error] [pid 4972:tid 1804] [client ::1:64600] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 53, referer: http://localhost/login_user.php
[Tue Jun 24 11:38:08.215554 2014] [:error] [pid 4972:tid 1812] [client ::1:64612] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:40:19.581878 2014] [:error] [pid 4972:tid 1780] [client ::1:64628] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:41:18.563743 2014] [:error] [pid 4972:tid 1788] [client ::1:64645] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:41:32.362325 2014] [:error] [pid 4972:tid 1804] [client ::1:64657] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:41:46.749135 2014] [:error] [pid 4972:tid 1772] [client ::1:64665] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 40, referer: http://localhost/login_user.php
[Tue Jun 24 11:42:58.479086 2014] [:error] [pid 4972:tid 1804] [client ::1:64674] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:43:56.545696 2014] [:error] [pid 4972:tid 1788] [client ::1:64690] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 42, referer: http://localhost/login_user.php
[Tue Jun 24 11:47:09.409562 2014] [:error] [pid 4972:tid 1772] [client ::1:64704] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:07.928210 2014] [:error] [pid 4972:tid 1812] [client ::1:64715] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: account in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 6, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: email in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 7, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: password in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 8, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined variable: salt in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 9, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: phone in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 10, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: mobliephone in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 11, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: sex in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 12, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.172625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined index: live_in in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 13, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:15.173625 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\regcheck.php on line 17, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:19.578877 2014] [:error] [pid 4972:tid 1812] [client ::1:64723] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:57.114752 2014] [:error] [pid 4972:tid 1788] [client ::1:64739] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:59.132867 2014] [:error] [pid 4972:tid 1788] [client ::1:64739] PHP Notice:  Undefined index: good_id in E:\\shopping\\trunk\\ShoppingServer\\www\\buygoods.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:48:59.132867 2014] [:error] [pid 4972:tid 1788] [client ::1:64739] PHP Warning:  mysql_fetch_row() expects parameter 1 to be resource, boolean given in E:\\shopping\\trunk\\ShoppingServer\\www\\buygoods.php on line 45, referer: http://localhost/login_user.php
[Tue Jun 24 11:49:06.558292 2014] [:error] [pid 4972:tid 1788] [client ::1:64751] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:50:34.825349 2014] [:error] [pid 4972:tid 1796] [client ::1:64761] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:52:05.549826 2014] [:error] [pid 4972:tid 1788] [client ::1:64779] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:52:18.099139 2014] [:error] [pid 4972:tid 1804] [client ::1:64790] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:52:31.709094 2014] [:error] [pid 4972:tid 1812] [client ::1:64798] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:52:42.678114 2014] [:error] [pid 4972:tid 1796] [client ::1:64806] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:55:37.701504 2014] [:error] [pid 4972:tid 1780] [client ::1:64851] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:56:36.308856 2014] [:error] [pid 4972:tid 1804] [client ::1:64863] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:57:06.348574 2014] [:error] [pid 4972:tid 1812] [client ::1:64874] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:57:13.396977 2014] [:error] [pid 4972:tid 1812] [client ::1:64874] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:57:15.925122 2014] [:error] [pid 4972:tid 1812] [client ::1:64874] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 11:57:38.993441 2014] [:error] [pid 4972:tid 1804] [client ::1:64895] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 11:57:55.752400 2014] [:error] [pid 4972:tid 1796] [client ::1:64934] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 11:58:11.931325 2014] [:error] [pid 4972:tid 1780] [client ::1:64955] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 13:09:12.076578 2014] [:error] [pid 4972:tid 1772] [client ::1:54672] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/
[Tue Jun 24 13:10:25.656786 2014] [:error] [pid 4972:tid 1772] [client ::1:54696] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/
[Tue Jun 24 13:11:07.347171 2014] [:error] [pid 4972:tid 1772] [client ::1:54707] PHP Notice:  Undefined variable: salt in E:\\shopping\\trunk\\ShoppingServer\\www\\logincheck.php on line 13, referer: http://localhost/login.php
[Tue Jun 24 13:11:09.821312 2014] [:error] [pid 4972:tid 1772] [client ::1:54707] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/login_user.php
[Tue Jun 24 13:12:01.475267 2014] [:error] [pid 4972:tid 1772] [client ::1:54716] PHP Warning:  session_destroy(): Trying to destroy uninitialized session in E:\\shopping\\trunk\\ShoppingServer\\www\\logout.php on line 1, referer: http://localhost/login_user.php
[Tue Jun 24 13:12:02.692336 2014] [:error] [pid 4972:tid 1772] [client ::1:54716] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 13:12:50.758085 2014] [:error] [pid 4972:tid 1764] [client ::1:54733] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 13:13:51.378553 2014] [:error] [pid 4972:tid 1764] [client ::1:54743] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 13:13:58.960986 2014] [:error] [pid 4972:tid 1740] [client ::1:54761] PHP Notice:  Undefined variable: _SESSION in E:\\shopping\\trunk\\ShoppingServer\\www\\goods_list.php on line 37, referer: http://localhost/index.php
[Tue Jun 24 13:13:59.917041 2014] [:error] [pid 4972:tid 1740] [client ::1:54761] PHP Notice:  Undefined index: user_id in E:\\shopping\\trunk\\ShoppingServer\\www\\buygoods.php on line 3, referer: http://localhost/index.php
[Tue Jun 24 13:14:00.920098 2014] [:error] [pid 4972:tid 1740] [client ::1:54761] PHP Notice:  Undefined index: user_id in E:\\shopping\\trunk\\ShoppingServer\\www\\buygoods.php on line 37, referer: http://localhost/index.php
